編號,名稱
1,武漢女台商
2,女性自由行陸客
3,武漢男台商
4,遊義大利一家人
5,白牌車司機家族
6,北部婦人群聚
7,北部老翁群聚
8,院內感染
9,埃及旅遊史婦人
10,埃及旅遊團
11,土耳其旅遊團
12,西班牙同校學生
13,北部高中群聚
14,奧地利、捷克團
15,捷克赴美探親
16,法籍研究生
17,四人美國自由行
18,法國返台同班機
19,中研院群聚
20,美國工作同事
21,英國同行家人
22,三人美國自由行
23,英國校園群聚
24,丹麥探親夫妻
25,菲律賓群聚
26,西班牙旅遊團
27,荷蘭工作
28,法國工作夫妻
29,美國自助旅遊
30,赴美探親
31,美國移入同住家人
32,英國同行友人
33,美國訪友
34,荷蘭移入同住家人
35,摩洛哥旅行團
36,英國同校留學生
37,南美旅遊團
38,英國工作夫妻
39,觀光局員工
40,西班牙返國夫妻
41,印尼自由行夫妻
42,瑞士工作同行者
43,3/30美國返台同班機
44,美國返台家庭群聚
45,北部社區保全
46,美國移入接觸者
47,3/23美國返台同班機
48,英國同校留學生2人
49,英國、冰島自由行
